date,0,1,2,3,4
2015-09-18,7.070258391405619e-05,1.4429809725235563e-08,2.2328658369105797e-10,5.624275730367211e-67,0.9999292827629885
2015-09-21,6.032436493965113e-05,7.197799707017515e-09,6.75161424111729e-11,7.135077312859601e-66,0.999939668369744
2015-09-22,8.513161717621299e-06,7.826858921019588e-13,6.03452354870793e-13,3.959062542782897e-89,0.999991486836897
2015-09-23,6.144341273614551e-05,1.2238087276932988e-14,1.3655760646315385e-10,8.803385718108923e-102,0.9999385564506951
2015-09-24,0.00013311921599001427,4.464168792815847e-14,9.67250176549661e-09,1.6442053986705248e-105,0.999866871111462
2015-09-25,0.00022161792663548627,2.0435680056633017e-18,1.0071150619500209e-07,1.08797633605622e-129,0.9997782813618583
2015-09-28,0.00018410678595786687,1.9536441070998101e-13,1.7989705253304276e-08,1.974438922392372e-104,0.9998158752241425
2015-09-29,0.0002146749413431769,8.447919088660858e-11,1.3385134208028277e-09,2.643739178608028e-95,0.9997853236356635
2015-09-30,0.00037093736932541585,7.50677356948764e-11,2.6704397434863064e-09,1.0702219735161387e-90,0.9996290598851681
2015-10-01,0.00014864406926202658,1.3990141228658879e-09,8.646997638997086e-10,4.9737835088331095e-79,0.9998513536670226
2015-10-02,0.00028873511920565493,6.24563256598214e-13,6.543944511559187e-08,4.777177991531822e-100,0.9997111994407253
2015-10-05,0.0009195275234597836,1.8259332982944063e-17,8.343701893399157e-06,8.299829799680621e-138,0.9990721287746474
2015-10-06,0.00015828489524763218,3.772790224459579e-15,9.788044403549916e-07,2.244776204474145e-121,0.999840736300307
2015-10-07,0.000260877824091413,2.659204238551522e-13,6.622984387535642e-08,4.524124638069754e-115,0.9997390559457999
2015-10-08,0.00020037746983603036,6.476762593612344e-12,3.865368984972605e-07,1.2280094734218057e-103,0.9997992359867892
2015-10-09,0.0006182079799519125,3.5709320190417224e-08,1.0496271767449114e-07,1.653704331860094e-78,0.9993816513480112
2015-10-12,0.003575575317439629,4.128878139955787e-07,2.40273756166746e-07,5.339870372052349e-69,0.9964237715209899
2015-10-13,0.0011519842242469287,0.00020738615997790183,9.705101355348735e-09,5.99399324703595e-49,0.9986406199106727
2015-10-14,0.00013714429341690767,1.180379789085624e-08,6.577468684759638e-10,5.663762969627143e-70,0.9998628432450377
2015-10-15,2.791469726373369e-05,5.390211668760667e-16,4.16649082722377e-12,6.086809901320819e-113,0.9999720852985696
2015-10-16,0.0002080113508684331,1.787010486008634e-09,1.1175118890072957e-10,6.006592377284732e-79,0.9997919867503706
2015-10-19,0.0017640744167862533,3.4727355317679964e-14,5.925801691871942e-09,6.219208748006146e-116,0.9982359196573772
2015-10-20,0.004099832709724257,2.0865150960115485e-09,2.476211789118228e-08,1.083216449436188e-88,0.9959001404416439
2015-10-21,0.00026315493431056927,4.9229631705529435e-26,2.9269710711166633e-10,8.369608398928721e-188,0.9997368447729934
2015-10-22,1.6593125001993906e-05,1.3276060323060313e-12,4.7923760706418176e-11,1.391809695432814e-100,0.9999834068257455
2015-10-23,1.9415949006780366e-06,2.2877794377096958e-12,1.6319868430542432e-12,5.039443426268843e-99,0.999998058401179
2015-10-26,1.1280081913519965e-07,7.012202816373691e-13,1.7703601713118923e-13,7.564606643397876e-93,0.9999998871983024
2015-10-27,2.267143497651886e-06,1.4484429058598e-12,3.670331772614041e-12,1.1022167061001655e-96,0.9999977328513849
2015-10-28,3.651666295025738e-08,2.7507569005451875e-14,2.811103787062947e-13,1.554412533652834e-103,0.9999999634830281
2015-10-29,1.592672703712357e-08,4.952490249128463e-11,2.370916983162304e-14,2.5075304783633252e-80,0.9999999840237238
2015-10-30,1.4629580396919914e-10,3.516101759803888e-21,3.275574180846873e-15,3.2910636132498293e-135,0.9999999998536993
2015-11-02,4.726725504147835e-13,6.399514819442596e-13,2.8068168519189297e-15,5.576889882890018e-97,0.9999999999988844
2015-11-03,6.561619266254304e-11,1.7292258887207715e-16,5.6048909259200116e-14,4.857128197948282e-112,0.9999999999343281
2015-11-04,1.3990558907692458e-08,1.462393638839174e-10,3.9352613414387416e-12,2.553402681363768e-78,0.9999999858592671
2015-11-05,3.6113497690149835e-10,6.914792086373579e-12,4.980859963730785e-13,2.1664207310087682e-88,0.9999999996314521
2015-11-06,5.7039493206446234e-11,4.417725845595446e-10,1.0411380007822898e-13,7.20258610496222e-78,0.9999999995010835
2015-11-09,1.7249555496435872e-10,1.2680065694881021e-11,1.9526890650972962e-13,3.9782386753207415e-89,0.9999999998146283
2015-11-10,4.675278946344376e-11,8.963950459708443e-13,1.4256537135574418e-13,2.8204428841717465e-98,0.9999999999522089
2015-11-11,6.482407163767927e-08,2.1550383642694495e-12,1.5556819099090888e-11,2.0729180889391598e-92,0.9999999351582168
2015-11-12,6.909683999282979e-08,1.4013371045627234e-11,2.589288037074498e-13,3.0595831058730028e-87,0.9999999308888873
2015-11-13,3.900916300105245e-11,2.894299718274033e-21,2.848168138359067e-14,1.0951537576171782e-149,0.9999999999609628
2015-11-16,2.7385294466115374e-16,9.315653671248903e-22,1.1968749389653303e-14,3.810089712753321e-161,0.9999999999999893
2015-11-17,6.522207362853351e-16,9.565402759012623e-18,2.1024485321861212e-14,1.503486968913962e-141,0.9999999999999787
2015-11-18,6.794872881171561e-15,3.487152253435335e-16,9.395490634392921e-15,1.5980420587687e-118,0.9999999999999822
2015-11-19,5.288868500658186e-16,4.738979173206752e-20,3.3094958250740017e-16,3.296601352530403e-142,1.0
2015-11-20,3.5818499790919346e-11,3.649162657955812e-18,7.414328254684539e-14,4.067983532074848e-134,0.9999999999641069
2015-11-23,1.843980536086236e-12,4.599716106539572e-13,7.813841996195572e-16,1.9237735659552997e-99,0.9999999999976961
2015-11-24,1.3656895804305567e-15,3.0933169154908807e-19,3.7857888780746823e-16,1.3645217505126198e-141,1.0
